patch	Host	Switch	Switch_Port
1		1	0
2		1	2
3		1	4
4		1	6
5		1	8
6	int01	1	10
7	staging01	1	12
8		1	14
9	iblsnfp03	1	16
10	mysql02	1	18
11	dbfailover	1	20
12	ibsldvtsts01	1	22
13	mysqldashboard	1	24
14	CORE 1	1	26
15	CORE 1	1	28
16	QNAP	1	30
17		1	32
18		1	34
19		1	36
20		1	38
21		1	40
22		1	42
23		1	44
24		1	46
1		4	0
2		4	2
3		4	4
4	xen-host00	4	6
5	xen-host01	4	8
6	int01	4	10
7	staging01	4	12
8	NSA	4	14
9	iblsnfp03	4	16
10	mysql02	4	18
11	dbfailover	4	20
12	iblsdvtst01	4	22
14	mysqldashboard	4	24
	CORE 2	4	26
15	CORE 2	4	28
16	QNAP	4	30
17		4	32
18		4	34
19		4	36
20		4	38
21		4	40
22		4	42
23		4	44
24		4	46
TBD		6	47
1	sapcr3p1	1	1
2	provhub01	1	3
3	iblsbkp03-drac	1	5
4	dellkvm	1	7
5		1	9
6		1	11
7	iblsbkp02	1	13
8		1	15
9	MASTERDNS01	1	17
10		1	19
11	rcnmrtg	1	21
12	jms01	1	23
13	dcp01	1	25
14	consumer03	1	27
15		1	29
16	westplesk02	1	31
17	mysql04	1	33
18	mysql03	1	35
19	mysql05 - eth2	1	37
20	mysql05	1	39
21		1	41
22		1	43
23		1	45
24		1	47
1	sapcr3p1	4	1
2		4	3
3		4	5
4		4	7
5	CACHEDNS02	4	9
6	iblsbkp01	4	11
7	iblsbkp02	4	13
8		4	15
9		4	17
10		4	19
11	rcnmrtg	4	21
12	jms01	4	23
13	dcp01	4	25
14	consumer03	4	27
15		4	29
16		4	31
17	mysql04	4	33
18	mysql03	4	35
19	mysql05 - eth2	4	37
20	mysql05	4	39
21		4	41
22		4	43
23		4	45
24		4	47
1		2	0
2		2	2
3		2	4
4		2	6
5		2	8
6		2	10
7	mysql08	2	12
8	iblsmondb01	2	14
9	Systems Sandbox	2	16
10	"reduxio
"	2	18
11	Systems Sandbox	2	20
12	MYSQL08	2	22
